cpd00001__91__e0__93__,cpd00007__91__e0__93__,cpd00009__91__e0__93__,cpd00011__91__e0__93__,cpd00013__91__e0__93__,cpd00035__91__e0__93__,cpd00036__91__e0__93__,cpd00041__91__e0__93__,cpd00048__91__e0__93__,cpd00067__91__e0__93__,cpd00107__91__e0__93__,cpd00111__91__c0__93__,cpd00121__91__c0__93__,cpd00129__91__e0__93__,cpd00130__91__e0__93__,cpd00155__91__c0__93__,cpd00214__91__c0__93__,cpd00227__91__e0__93__,cpd00421__91__c0__93__,cpd00528__91__e0__93__,cpd03802__91__c0__93__,cpd11640__91__e0__93__,cpd12836__91__c0__93__,cpdPG6__91__c0__93__,objective
4.921428571428571530e+01,-1.671428571428571530e+01,0.000000000000000000e+00,2.600000000000000000e+01,4.642857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.642857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.321428571428571508e-01,0.000000000000000000e+00,2.321428571428571508e-01,1.114285714285714324e-01,0.000000000000000000e+00,2.321428571428571508e-01
1.527472527472527375e+00,-1.282051282051282159e+00,0.000000000000000000e+00,3.018315018315018250e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.368131868131868156e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.840659340659340781e-01,1.227106227106227049e-01,1.840659340659340781e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.840659340659340781e-01
1.129577464788732399e+01,-3.629107981220657475e+00,0.000000000000000000e+00,1.162910798122065792e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.382629107981220962e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.330188679245283057e+00,-6.250000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,0.000000000000000000e+00,-9.669811320754717610e-02,-1.290094339622641417e+00,0.000000000000000000e+00,4.834905660377358805e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.900943396226415283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.983490566037735880e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.077380952380952328e+00,0.000000000000000000e+00,1.333333333333333259e+00,5.178571428571429047e-01,0.000000000000000000e+00,-5.952380952380952051e-02,0.000000000000000000e+00,0.000000000000000000e+00,-7.261904761904761640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.071428571428570953e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.976190476190476025e-02,0.000000000000000000e+00,2.738095238095238255e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.111563517915309607e+00,-1.029315960912052130e+00,0.000000000000000000e+00,1.656351791530944695e+00,8.957654723127035645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.190679027812578561e-02,8.957654723127035645e-02,-8.957654723127035645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.148780487804878092e+01,-3.243902439024390461e+00,0.000000000000000000e+00,1.065853658536585336e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.329268292682926678e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.292682926829268719e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.949227373068432634e+00,-2.577262693156733064e+00,-2.207505518763796908e-03,3.942604856512141431e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.666666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.333333333333333481e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.415011037527593815e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.207505518763796908e-03,0.000000000000000000e+00
1.000000000000000000e+00,-1.062500000000000000e+00,0.000000000000000000e+00,1.333333333333333259e+00,5.364583333333333703e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.187500000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.208333333333333565e-02,0.000000000000000000e+00,0.000000000000000000e+00,-6.145833333333333703e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.604166666666666782e-02,0.000000000000000000e+00,2.812499999999999896e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.062500000000000000e+02,-3.562500000000000000e+02,0.000000000000000000e+00,6.062500000000000000e+02,0.000000000000000000e+00,2.062500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.062500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.526315789473684070e+00,-3.000000000000000000e+00,-5.289473684210526550e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.763157894736842035e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.763157894736842035e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.988333333333333144e+02,-1.305000000000000000e+02,0.000000000000000000e+00,2.076666666666666572e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,-2.056666666666666572e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.910256410256410575e+00,5.000000000000000000e+00,-3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.383333333333333748e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.865853658536585691e+00,-1.682926829268292623e+00,-3.000000000000000000e+00,2.243902439024390461e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.621951219512195230e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.846153846153846367e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121951219512195078e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.328063241106719250e+00,-1.664031620553359625e+00,0.000000000000000000e+00,1.632411067193675791e+00,0.000000000000000000e+00,6.205533596837944366e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.264822134387351693e-01,-3.794466403162055079e-01,0.000000000000000000e+00,6.324110671936758465e-02,-1.264822134387351693e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.007243243243243228e+03,-4.442432432432432279e+02,-3.565405405405405190e+02,4.440540540540540633e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.875675675675675791e+01,-2.947837837837838038e+02,0.000000000000000000e+00,2.937837837837837895e+01,-6.075675675675675791e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.762702702702702595e+02,1.185135135135135158e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.281250000000000000e+02,-1.781250000000000000e+02,0.000000000000000000e+00,2.562500000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-5.625000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.125000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.855769230769229949e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.976102941176470562e+00,-1.319852941176470562e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.886029411764705621e-01,-1.250000000000000000e-01,-8.639705882352941013e-02,0.000000000000000000e+00,6.250000000000000000e-02,-1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.636029411764705621e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.225185185185185155e+00,-1.032962962962962861e+00,-7.911111111111110983e-01,1.000000000000000000e+00,2.740740740740740811e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.318518518518518590e-01,-6.866666666666666474e-01,0.000000000000000000e+00,6.592592592592592948e-02,-1.044444444444444509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.229629629629629850e-01,2.637037037037037179e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
